Temps;EA0;Temps;EA1;Temps;I
0.000135;-0.475536122918129;0.000135;-5.34693507105112;0.000135;-0.311709171781937
0.000136;-0.465618774294853;0.000136;-5.34693507105112;0.000136;-0.298452015966177
0.000137;-0.455701425671577;0.000137;-5.34197087585926;0.000137;-0.306737738351027
0.000138;-0.440825402736664;0.000138;-5.33204248547554;0.000138;-0.305080593874057
0.000139;-0.416032031178474;0.000139;-5.32211409509182;0.000139;-0.295137727012237
0.00014;-0.401156008243561;0.00014;-5.30722150951624;0.00014;-0.303423449397087
0.000141;-0.386279985308647;0.000141;-5.29729311913252;0.000141;-0.305080593874057
0.000142;-0.366445288062096;0.000142;-5.28240053355694;0.000142;-0.318337749689817
0.000143;-0.346610590815544;0.000143;-5.26750794798136;0.000143;-0.319994894166787
0.000144;-0.321817219257355;0.000144;-5.24765116721392;0.000144;-0.334909194459518
0.000145;-0.311899870634079;0.000145;-5.2377227768302;0.000145;-0.344852061321338
0.000146;-0.28710649907589;0.000146;-5.21786599606276;0.000146;-0.333252049982548
0.000147;-0.2623131275177;0.000147;-5.19304502010345;0.000147;-0.331594905505578
0.000148;-0.232561081647873;0.000148;-5.16325984895229;0.000148;-0.331594905505578
0.000149;-0.227602407336235;0.000149;-5.15333145856857;0.000149;-0.326623472074668
0.00015;-0.212726384401321;0.00015;-5.14340306818485;0.00015;-0.323309183120728
0.000151;-0.197850361466408;0.000151;-5.12354628741741;0.000151;-0.311709171781937
0.000152;-0.173056989908218;0.000152;-5.09872531145811;0.000152;-0.315023460735877
0.000153;-0.153222292661667;0.000153;-5.07886853069067;0.000153;-0.316680605212847
0.000154;-0.133387595415115;0.000154;-5.05901174992323;0.000154;-0.319994894166787
0.000155;-0.113552898168564;0.000155;-5.03915496915579;0.000155;-0.336566338936488
0.000156;-0.0937182009220123;0.000156;-5.00936979800463;0.000156;-0.333252049982548
0.000157;-0.0689248293638229;0.000157;-4.98454882204533;0.000157;-0.339880627890428
0.000158;-0.0490901321172714;0.000158;-4.95972784608603;0.000158;-0.343194916844368
0.000159;-0.024296760559082;0.000159;-4.92994267493486;0.000159;-0.343194916844368
0.00016;-0.00446206331253052;0.00016;-4.89519330859184;0.00016;-0.343194916844368
0.000161;0.015372633934021;0.000161;-4.87037233263254;0.000161;-0.329937761028608
0.000162;0.0352073311805725;0.000162;-4.84555135667324;0.000162;-0.323309183120728
0.000163;0.0500833541154861;0.000163;-4.82073038071394;0.000163;-0.319994894166787
0.000164;0.0649593770503998;0.000164;-4.8008735999465;0.000164;-0.318337749689817
0.000165;0.0897527486085892;0.000165;-4.76612423360348;0.000165;-0.324966327597698
0.000166;0.109587445855141;0.000166;-4.73137486726046;0.000166;-0.313366316258907
0.000167;0.129422143101692;0.000167;-4.70158969610929;0.000167;-0.321652038643758
0.000168;0.144298166036606;0.000168;-4.67676872014999;0.000168;-0.339880627890428
0.000169;0.169091537594795;0.000169;-4.64201935380697;0.000169;-0.333252049982548
0.00017;0.183967560529709;0.00017;-4.61719837784767;0.00017;-0.338223483413458
0.000171;0.213719606399536;0.000171;-4.57252062112093;0.000171;-0.338223483413458
0.000172;0.233554303646088;0.000172;-4.53777125477791;0.000172;-0.334909194459518
0.000173;0.253389000892639;0.000173;-4.50302188843489;0.000173;-0.329937761028608
0.000174;0.273223698139191;0.000174;-4.46827252209187;0.000174;-0.319994894166787
0.000175;0.288099721074104;0.000175;-4.4384873509407;0.000175;-0.324966327597698
0.000176;0.307934418320656;0.000176;-4.40373798459768;0.000176;-0.306737738351027
0.000177;0.322810441255569;0.000177;-4.37395281344652;0.000177;-0.303423449397087
0.000178;0.347603812813759;0.000178;-4.33423925191164;0.000178;-0.310052027304967
0.000179;0.36743851006031;0.000179;-4.30445408076048;0.000179;-0.303423449397087
0.00018;0.387273207306862;0.00018;-4.2647405192256;0.00018;-0.305080593874057
0.000181;0.397190555930138;0.000181;-4.22999115288258;0.000181;-0.311709171781937
0.000182;0.421983927488327;0.000182;-4.19027759134769;0.000182;-0.313366316258907
0.000183;0.441818624734879;0.000183;-4.15056402981281;0.000183;-0.319994894166787
0.000184;0.46165332198143;0.000184;-4.10588627308607;0.000184;-0.316680605212847
0.000185;0.491405367851257;0.000185;-4.06120851635933;0.000185;-0.324966327597698
0.000186;0.501322716474533;0.000186;-4.02645915001631;0.000186;-0.306737738351027
0.000187;0.521157413721085;0.000187;-3.98178139328957;0.000187;-0.295137727012237
0.000188;0.53107476234436;0.000188;-3.95696041733027;0.000188;-0.305080593874057
0.000189;0.545950785279274;0.000189;-3.92221105098724;0.000189;-0.290166293581327
0.00019;0.565785482525826;0.00019;-3.8775332942605;0.00019;-0.280223426719507
0.000191;0.585620179772377;0.000191;-3.83285553753376;0.000191;-0.273594848811626
0.000192;0.600496202707291;0.000192;-3.79810617119074;0.000192;-0.276909137765567
0.000193;0.620330899953842;0.000193;-3.753428414464;0.000193;-0.276909137765567
0.000194;0.635206922888756;0.000194;-3.71867904812098;0.000194;-0.271937704334656
0.000195;0.650082945823669;0.000195;-3.67400129139423;0.000195;-0.291823438058297
0.000196;0.664958968758583;0.000196;-3.63428772985935;0.000196;-0.283537715673447
0.000197;0.684793666005135;0.000197;-3.58960997313261;0.000197;-0.285194860150417
0.000198;0.704628363251686;0.000198;-3.53996802121401;0.000198;-0.286852004627387
0.000199;0.7195043861866;0.000199;-3.50025445967913;0.000199;-0.275251993288596
0.0002;0.739339083433151;0.0002;-3.45557670295238;0.0002;-0.270280559857686
0.000201;0.744297757744789;0.000201;-3.42082733660936;0.000201;-0.257023404041926
0.000202;0.759173780679703;0.000202;-3.38607797026634;0.000202;-0.245423392703136
0.000203;0.769091129302979;0.000203;-3.34636440873146;0.000203;-0.245423392703136
0.000204;0.78892582654953;0.000204;-3.30168665200472;0.000204;-0.235480525841316
0.000205;0.798843175172806;0.000205;-3.26197309046984;0.000205;-0.242109103749196
0.000206;0.813719198107719;0.000206;-3.22225952893496;0.000206;-0.228851947933435
0.000207;0.823636546730995;0.000207;-3.17758177220821;0.000207;-0.238794814795256
0.000208;0.833553895354271;0.000208;-3.14283240586519;0.000208;-0.248737681657076
0.000209;0.853388592600822;0.000209;-3.09319045394659;0.000209;-0.247080537180106
0.00021;0.873223289847374;0.00021;-3.03858430683613;0.00021;-0.243766248226166
0.000211;0.888099312782288;0.000211;-2.99887074530125;0.000211;-0.243766248226166
0.000212;0.898016661405563;0.000212;-2.95915718376637;0.000212;-0.230509092410405
0.000213;0.902975335717201;0.000213;-2.91944362223148;0.000213;-0.213937647640705
0.000214;0.912892684340477;0.000214;-2.88469425588846;0.000214;-0.208966214209795
0.000215;0.922810032963753;0.000215;-2.84001649916172;0.000215;-0.212280503163735
0.000216;0.932727381587029;0.000216;-2.8052671328187;0.000216;-0.192394769440095
0.000217;0.942644730210304;0.000217;-2.76555357128382;0.000217;-0.184109047055244
0.000218;0.947603404521942;0.000218;-2.72584000974894;0.000218;-0.185766191532214
0.000219;0.957520753145218;0.000219;-2.68612644821405;0.000219;-0.194051913917065
