Temps;EA0;Temps;I
0.0001475;2.44016437232494;0.0001475;-0.00248435600237413
0.000148;2.44016437232494;0.000148;-0.00246179147877476
0.0001485;2.44512304663658;0.0001485;-0.00248435600237413
0.000149;2.44512304663658;0.000149;-0.00246179147877476
0.0001495;2.44016437232494;0.0001495;-0.00246179147877476
0.00015;2.44016437232494;0.00015;-0.0024392269551754
0.0001505;2.43024702370167;0.0001505;-0.00248435600237413
0.000151;2.43520569801331;0.000151;-0.00246179147877476
0.0001515;2.43024702370167;0.0001515;-0.00246179147877476
0.000152;2.43024702370167;0.000152;-0.00246179147877476
0.0001525;2.42528834939003;0.0001525;-0.00248435600237413
0.000153;2.42528834939003;0.000153;-0.00248435600237413
0.0001535;2.42032967507839;0.0001535;-0.00246179147877476
0.000154;2.42032967507839;0.000154;-0.00246179147877476
0.0001545;2.41537100076675;0.0001545;-0.00246179147877476
0.000155;2.41537100076675;0.000155;-0.00246179147877476
0.0001555;2.41041232645512;0.0001555;-0.00246179147877476
0.000156;2.41041232645512;0.000156;-0.00246179147877476
0.0001565;2.41041232645512;0.0001565;-0.00246179147877476
0.000157;2.40545365214348;0.000157;-0.00248435600237413
0.0001575;2.41041232645512;0.0001575;-0.0024392269551754
0.000158;2.41041232645512;0.000158;-0.00246179147877476
0.0001585;2.40545365214348;0.0001585;-0.00246179147877476
0.000159;2.40049497783184;0.000159;-0.00248435600237413
0.0001595;2.40049497783184;0.0001595;-0.00246179147877476
0.00016;2.3955363035202;0.00016;-0.00248435600237413
0.0001605;2.3955363035202;0.0001605;-0.00248435600237413
0.000161;2.3955363035202;0.000161;-0.00246179147877476
0.0001615;2.39057762920856;0.0001615;-0.00246179147877476
0.000162;2.39057762920856;0.000162;-0.00246179147877476
0.0001625;2.38561895489693;0.0001625;-0.00248435600237413
0.000163;2.38561895489693;0.000163;-0.00246179147877476
0.0001635;2.39057762920856;0.0001635;-0.00246179147877476
0.000164;2.38561895489693;0.000164;-0.0024392269551754
0.0001645;2.37570160627365;0.0001645;-0.00246179147877476
0.000165;2.38066028058529;0.000165;-0.0024392269551754
0.0001655;2.37074293196201;0.0001655;-0.00246179147877476
0.000166;2.37570160627365;0.000166;-0.00246179147877476
0.0001665;2.37074293196201;0.0001665;-0.00246179147877476
0.000167;2.37074293196201;0.000167;-0.00246179147877476
0.0001675;2.37074293196201;0.0001675;-0.0024392269551754
0.000168;2.36578425765038;0.000168;-0.00246179147877476
0.0001685;2.36082558333874;0.0001685;-0.00248435600237413
0.000169;2.36578425765038;0.000169;-0.00246179147877476
0.0001695;2.36082558333874;0.0001695;-0.00246179147877476
0.00017;2.36082558333874;0.00017;-0.00246179147877476
0.0001705;2.3558669090271;0.0001705;-0.00246179147877476
0.000171;2.3558669090271;0.000171;-0.00246179147877476
0.0001715;2.3558669090271;0.0001715;-0.0024392269551754
0.000172;2.35090823471546;0.000172;-0.00246179147877476
0.0001725;2.34594956040382;0.0001725;-0.00246179147877476
0.000173;2.34099088609219;0.000173;-0.00246179147877476
0.0001735;2.34594956040382;0.0001735;-0.00248435600237413
0.000174;2.34099088609219;0.000174;-0.00248435600237413
0.0001745;2.34099088609219;0.0001745;-0.00248435600237413
0.000175;2.33603221178055;0.000175;-0.00246179147877476
0.0001755;2.33107353746891;0.0001755;-0.00248435600237413
0.000176;2.33603221178055;0.000176;-0.0024392269551754
0.0001765;2.33107353746891;0.0001765;-0.00246179147877476
0.000177;2.33107353746891;0.000177;-0.00241666243157604
0.0001775;2.32115618884563;0.0001775;-0.00246179147877476
0.000178;2.32611486315727;0.000178;-0.00246179147877476
0.0001785;2.32115618884563;0.0001785;-0.00246179147877476
0.000179;2.32115618884563;0.000179;-0.00246179147877476
0.0001795;2.316197514534;0.0001795;-0.00246179147877476
0.00018;2.316197514534;0.00018;-0.00246179147877476
0.0001805;2.31123884022236;0.0001805;-0.00246179147877476
0.000181;2.316197514534;0.000181;-0.00246179147877476
0.0001815;2.31123884022236;0.0001815;-0.0024392269551754
0.000182;2.30628016591072;0.000182;-0.00246179147877476
0.0001825;2.30628016591072;0.0001825;-0.00246179147877476
0.000183;2.30132149159908;0.000183;-0.00246179147877476
0.0001835;2.30628016591072;0.0001835;-0.00241666243157604
0.000184;2.29636281728745;0.000184;-0.00246179147877476
0.0001845;2.30132149159908;0.0001845;-0.00246179147877476
0.000185;2.29636281728745;0.000185;-0.00246179147877476
0.0001855;2.29636281728745;0.0001855;-0.00248435600237413
0.000186;2.28148679435253;0.000186;-0.00250692052597349
0.0001865;2.28148679435253;0.0001865;-0.00250692052597349
0.000187;2.29140414297581;0.000187;-0.00246179147877476
0.0001875;2.28148679435253;0.0001875;-0.00248435600237413
0.000188;2.28644546866417;0.000188;-0.0024392269551754
0.0001885;2.27652812004089;0.0001885;-0.00246179147877476
0.000189;2.28148679435253;0.000189;-0.0024392269551754
0.0001895;2.27156944572926;0.0001895;-0.00248435600237413
0.00019;2.28148679435253;0.00019;-0.0024392269551754
0.0001905;2.26661077141762;0.0001905;-0.00248435600237413
0.000191;2.27156944572926;0.000191;-0.0024392269551754
0.0001915;2.26661077141762;0.0001915;-0.00246179147877476
0.000192;2.26661077141762;0.000192;-0.00246179147877476
0.0001925;2.26165209710598;0.0001925;-0.00246179147877476
0.000193;2.26661077141762;0.000193;-0.00248435600237413
0.0001935;2.26661077141762;0.0001935;-0.0024392269551754
0.000194;2.25669342279434;0.000194;-0.00248435600237413
0.0001945;2.25669342279434;0.0001945;-0.0024392269551754
0.000195;2.2517347484827;0.000195;-0.00246179147877476
0.0001955;2.2517347484827;0.0001955;-0.00246179147877476
0.000196;2.2517347484827;0.000196;-0.00246179147877476
0.0001965;2.2517347484827;0.0001965;-0.0024392269551754
0.000197;2.24677607417107;0.000197;-0.00246179147877476
0.0001975;2.24677607417107;0.0001975;-0.0024392269551754
0.000198;2.24677607417107;0.000198;-0.00246179147877476
0.0001985;2.24181739985943;0.0001985;-0.00248435600237413
0.000199;2.23685872554779;0.000199;-0.00246179147877476
0.0001995;2.23190005123615;0.0001995;-0.00246179147877476
0.0002;2.23190005123615;0.0002;-0.00246179147877476
0.0002005;2.22694137692451;0.0002005;-0.00248435600237413
0.000201;2.23190005123615;0.000201;-0.0024392269551754
