Temps;EA0;Temps;EA1
9.3E-5;0.689752340316772;9.3E-5;3.54890271276236
9.4E-5;0.704628363251686;9.4E-5;3.58365207910538
9.5E-5;0.7195043861866;9.5E-5;3.62832983583212
9.6E-5;0.734380409121513;9.6E-5;3.67300759255886
9.7E-5;0.744297757744789;9.7E-5;3.70279276371002
9.8E-5;0.754215106368065;9.8E-5;3.73257793486118
9.9E-5;0.759173780679703;9.9E-5;3.76236310601234
0.0001;0.764132454991341;0.0001;3.79711247235537
0.000101;0.779008477926254;0.000101;3.84179022908211
0.000102;0.78892582654953;0.000102;3.87157540023327
0.000103;0.798843175172806;0.000103;3.91128896176815
0.000104;0.803801849484444;0.000104;3.94107413291931
0.000105;0.813719198107719;0.000105;3.98078769445419
0.000106;0.818677872419357;0.000106;4.01057286560535
0.000107;0.838512569665909;0.000107;4.0552506223321
0.000108;0.848429918289185;0.000108;4.09992837905884
0.000109;0.843471243977547;0.000109;4.11978515982628
0.00011;0.853388592600822;0.00011;4.1545345261693
0.000111;0.85834726691246;0.000111;4.18928389251232
0.000112;0.868264615535736;0.000112;4.22403325885534
0.000113;0.873223289847374;0.000113;4.2538184300065
0.000114;0.878181964159012;0.000114;4.28856779634953
0.000115;0.878181964159012;0.000115;4.31835296750069
0.000116;0.888099312782288;0.000116;4.35310233384371
0.000117;0.893057987093925;0.000117;4.38288750499487
0.000118;0.893057987093925;0.000118;4.41267267614603
0.000119;0.898016661405563;0.000119;4.44742204248905
0.00012;0.912892684340477;0.00012;4.48713560402393
0.000121;0.912892684340477;0.000121;4.51692077517509
0.000122;0.917851358652115;0.000122;4.55167014151812
0.000123;0.927768707275391;0.000123;4.58145531266928
0.000124;0.922810032963753;0.000124;4.60627628862858
0.000125;0.922810032963753;0.000125;4.63109726458788
0.000126;0.917851358652115;0.000126;4.65591824054718
0.000127;0.922810032963753;0.000127;4.6906676068902
0.000128;0.917851358652115;0.000128;4.71052438765764
0.000129;0.922810032963753;0.000129;4.74527375400066
0.00013;0.922810032963753;0.00013;4.77009472995996
0.000131;0.922810032963753;0.000131;4.79987990111113
0.000132;0.922810032963753;0.000132;4.81973668187857
0.000133;0.922810032963753;0.000133;4.84952185302973
0.000134;0.927768707275391;0.000134;4.88427121937275
0.000135;0.927768707275391;0.000135;4.90909219533205
0.000136;0.927768707275391;0.000136;4.93391317129135
0.000137;0.917851358652115;0.000137;4.94384156167507
0.000138;0.912892684340477;0.000138;4.97362673282623
0.000139;0.907934010028839;0.000139;4.99348351359367
0.00014;0.902975335717201;0.00014;5.01334029436111
0.000141;0.902975335717201;0.000141;5.03816127032042
0.000142;0.898016661405563;0.000142;5.053053855896
0.000143;0.902975335717201;0.000143;5.08780322223902
0.000144;0.888099312782288;0.000144;5.09773161262274
0.000145;0.878181964159012;0.000145;5.10766000300646
0.000146;0.88314063847065;0.000146;5.13744517415762
0.000147;0.88314063847065;0.000147;5.16226615011692
0.000148;0.878181964159012;0.000148;5.1771587356925
0.000149;0.868264615535736;0.000149;5.19205132126808
0.00015;0.853388592600822;0.00015;5.2019797116518
0.000151;0.848429918289185;0.000151;5.21190810203552
0.000152;0.843471243977547;0.000152;5.23672907799482
0.000153;0.828595221042633;0.000153;5.24169327318668
0.000154;0.818677872419357;0.000154;5.2516216635704
0.000155;0.828595221042633;0.000155;5.28637102991343
0.000156;0.803801849484444;0.000156;5.28140683472157
0.000157;0.793884500861168;0.000157;5.29133522510529
0.000158;0.78892582654953;0.000158;5.30126361548901
0.000159;0.783967152237892;0.000159;5.32112039625645
0.00016;0.774049803614616;0.00016;5.33104878664017
0.000161;0.769091129302979;0.000161;5.34097717702389
0.000162;0.759173780679703;0.000162;5.35090556740761
0.000163;0.739339083433151;0.000163;5.35090556740761
0.000164;0.724463060498238;0.000164;5.35090556740761
0.000165;0.709587037563324;0.000165;5.35090556740761
